symbol,direction,scenario_id,scenario_name,entry_price,stop_loss,take_profit,issued_at_tehran,status,outcome,hit_time_tehran,hit_price,broker_fee,final_pnl_usd,position_size_usd,return_pct,signal_source
SUI-USDT,LONG,S3,کرونوس (Cronus),0.77290000,0.74198400,0.00000000,2026-09-04 07:13:41,CLOSED,TRAIL_STOP,2026-09-04 04:43:10,0.77686000,0.200000,0.312356,10.00,0.512356,titan_signal
NEAR-USDT,LONG,S3,کرونوس (Cronus),1.95350000,1.87536000,0.00000000,2026-09-04 07:13:42,CLOSED,TRAIL_STOP,2026-09-04 04:43:11,1.96313000,0.200000,0.292961,10.00,0.492961,titan_signal
NEAR-USDT,LONG,B1,هایپریون (Hyperion),1.95350000,1.87536000,0.00000000,2026-09-04 07:13:44,CLOSED,TRAIL_STOP,2026-09-04 04:43:11,1.96313000,0.200000,0.292961,10.00,0.492961,titan_signal
ADA-USDT,LONG,S3,کرونوس (Cronus),0.22460000,0.21561600,0.00000000,2026-09-04 07:13:45,CLOSED,TRAIL_STOP,2026-09-04 04:43:12,0.22541000,0.200000,0.160641,10.00,0.360641,titan_signal
ADA-USDT,LONG,B1,هایپریون (Hyperion),0.22460000,0.21561600,0.00000000,2026-09-04 07:13:47,CLOSED,TRAIL_STOP,2026-09-04 04:43:12,0.22541000,0.200000,0.160641,10.00,0.360641,titan_signal
LINK-USDT,LONG,S1,پرومتئوس (Prometheus),11.88180000,11.40652800,0.00000000,2026-09-04 07:13:49,CLOSED,TRAIL_STOP,2026-09-04 04:17:28,11.92536000,0.200000,0.166611,10.00,0.366611,titan_signal
LINK-USDT,LONG,S3,کرونوس (Cronus),11.88180000,11.40652800,0.00000000,2026-09-04 07:13:51,CLOSED,TRAIL_STOP,2026-09-04 04:17:29,11.92536000,0.200000,0.166611,10.00,0.366611,titan_signal
LINK-USDT,LONG,B1,هایپریون (Hyperion),11.88180000,11.40652800,0.00000000,2026-09-04 07:13:52,CLOSED,TRAIL_STOP,2026-09-04 04:17:29,11.92536000,0.200000,0.166611,10.00,0.366611,titan_signal
AVAX-USDT,LONG,S1,پرومتئوس (Prometheus),7.49700000,7.19712000,0.00000000,2026-09-04 07:13:54,CLOSED,TRAIL_STOP,2026-09-04 04:43:12,7.51950000,0.200000,0.100120,10.00,0.300120,titan_signal
AVAX-USDT,LONG,S3,کرونوس (Cronus),7.49700000,7.19712000,0.00000000,2026-09-04 07:13:55,CLOSED,TRAIL_STOP,2026-09-04 04:43:13,7.51950000,0.200000,0.100120,10.00,0.300120,titan_signal
AVAX-USDT,LONG,B1,هایپریون (Hyperion),7.49700000,7.19712000,0.00000000,2026-09-04 07:13:57,CLOSED,TRAIL_STOP,2026-09-04 04:43:13,7.51950000,0.200000,0.100120,10.00,0.300120,titan_signal
FIL-USDT,SHORT,S2,ایاپتوس (Iapetus),0.77450000,0.80548000,0.00000000,2026-09-04 07:13:58,CLOSED,TRAIL_STOP,2026-09-04 06:21:37,0.76703000,0.200000,0.764493,10.00,0.964493,titan_signal
FIL-USDT,SHORT,S3,کرونوس (Cronus),0.77450000,0.80548000,0.00000000,2026-09-04 07:14:00,CLOSED,TRAIL_STOP,2026-09-04 05:42:32,0.77234000,0.200000,0.078890,10.00,0.278890,titan_signal
INJ-USDT,LONG,S3,کرونوس (Cronus),4.93300000,4.73568000,0.00000000,2026-09-04 07:14:02,CLOSED,STOP_HIT,2026-09-04 12:48:30,4.73568000,0.200000,-4.200000,10.00,-4.000000,titan_signal
INJ-USDT,LONG,B1,هایپریون (Hyperion),4.93300000,4.73568000,0.00000000,2026-09-04 07:14:04,CLOSED,STOP_HIT,2026-09-04 12:48:30,4.73568000,0.200000,-4.200000,10.00,-4.000000,titan_signal
SEI-USDT,LONG,S3,کرونوس (Cronus),0.04859000,0.04664640,0.00000000,2026-09-04 07:14:05,CLOSED,TRAIL_STOP,2026-09-04 04:17:32,0.04883300,0.200000,0.300103,10.00,0.500103,titan_signal
TIA-USDT,LONG,S3,کرونوس (Cronus),0.36290000,0.34838400,0.00000000,2026-09-04 07:14:07,CLOSED,TRAIL_STOP,2026-09-04 04:43:15,0.36452000,0.200000,0.246404,10.00,0.446404,titan_signal
TIA-USDT,LONG,B1,هایپریون (Hyperion),0.36290000,0.34838400,0.00000000,2026-09-04 07:14:08,CLOSED,TRAIL_STOP,2026-09-04 04:43:15,0.36452000,0.200000,0.246404,10.00,0.446404,titan_signal
OP-USDT,LONG,S3,کرونوس (Cronus),0.09950000,0.09552000,0.00000000,2026-09-04 07:14:26,CLOSED,TRAIL_STOP,2026-09-04 04:17:33,0.09995000,0.200000,0.252261,10.00,0.452261,titan_signal
PEPE-USDT,LONG,S3,کرونوس (Cronus),0.00000367,0.00000352,0.00000000,2026-09-04 07:14:40,CLOSED,TRAIL_STOP,2026-09-04 04:17:33,0.00000368,0.200000,0.070049,10.00,0.270049,titan_signal
PEPE-USDT,LONG,B1,هایپریون (Hyperion),0.00000367,0.00000352,0.00000000,2026-09-04 07:14:41,CLOSED,TRAIL_STOP,2026-09-04 04:17:34,0.00000368,0.200000,0.070049,10.00,0.270049,titan_signal
SHIB-USDT,LONG,S3,کرونوس (Cronus),0.00000536,0.00000514,0.00000000,2026-09-04 07:14:43,CLOSED,TRAIL_STOP,2026-09-04 04:43:16,0.00000538,0.200000,0.203286,10.00,0.403286,titan_signal
SHIB-USDT,LONG,B1,هایپریون (Hyperion),0.00000536,0.00000514,0.00000000,2026-09-04 07:14:44,CLOSED,TRAIL_STOP,2026-09-04 04:43:16,0.00000538,0.200000,0.203286,10.00,0.403286,titan_signal
BTC-USDT,LONG,S1,پرومتئوس (Prometheus),81046.10000000,77804.25600000,0.00000000,2026-09-04 07:47:55,CLOSED,TRAIL_STOP,2026-09-04 09:43:52,81270.02000000,0.200000,0.076287,10.00,0.276287,titan_signal
BTC-USDT,LONG,S3,کرونوس (Cronus),81046.10000000,77804.25600000,0.00000000,2026-09-04 07:47:57,CLOSED,TRAIL_STOP,2026-09-04 09:43:52,81270.02000000,0.200000,0.076287,10.00,0.276287,titan_signal
BTC-USDT,LONG,B1,هایپریون (Hyperion),81046.10000000,77804.25600000,0.00000000,2026-09-04 07:47:58,CLOSED,TRAIL_STOP,2026-09-04 09:43:53,81270.02000000,0.200000,0.076287,10.00,0.276287,titan_signal
XRP-USDT,LONG,S1,پرومتئوس (Prometheus),1.44867000,1.39072320,0.00000000,2026-09-04 07:48:01,CLOSED,TRAIL_STOP,2026-09-04 04:43:17,1.45566300,0.200000,0.282719,10.00,0.482719,titan_signal
XRP-USDT,LONG,S3,کرونوس (Cronus),1.44867000,1.39072320,0.00000000,2026-09-04 07:48:03,CLOSED,TRAIL_STOP,2026-09-04 04:43:17,1.45566300,0.200000,0.282719,10.00,0.482719,titan_signal
XRP-USDT,LONG,B1,هایپریون (Hyperion),1.44867000,1.39072320,0.00000000,2026-09-04 07:48:04,CLOSED,TRAIL_STOP,2026-09-04 04:43:18,1.45566300,0.200000,0.282719,10.00,0.482719,titan_signal
SUI-USDT,LONG,B1,هایپریون (Hyperion),0.77340000,0.74246400,0.00000000,2026-09-04 07:48:07,CLOSED,TRAIL_STOP,2026-09-04 04:43:18,0.77709000,0.200000,0.277114,10.00,0.477114,titan_signal
ADA-USDT,LONG,S1,پرومتئوس (Prometheus),0.22420000,0.21523200,0.00000000,2026-09-04 07:48:24,CLOSED,TRAIL_STOP,2026-09-04 04:43:19,0.22690000,0.200000,1.004282,10.00,1.204282,titan_signal
LINK-USDT,LONG,S1,پرومتئوس (Prometheus),11.91210000,11.43561600,0.00000000,2026-09-04 07:48:38,CLOSED,TRAIL_STOP,2026-09-04 04:43:19,11.99121000,0.200000,0.464115,10.00,0.664115,titan_signal
LINK-USDT,LONG,S3,کرونوس (Cronus),11.91210000,11.43561600,0.00000000,2026-09-04 07:48:40,CLOSED,TRAIL_STOP,2026-09-04 04:43:20,11.99121000,0.200000,0.464115,10.00,0.664115,titan_signal
LINK-USDT,LONG,B1,هایپریون (Hyperion),11.91210000,11.43561600,0.00000000,2026-09-04 07:48:41,CLOSED,TRAIL_STOP,2026-09-04 04:43:20,11.99121000,0.200000,0.464115,10.00,0.664115,titan_signal
ATOM-USDT,LONG,S1,پرومتئوس (Prometheus),1.51790000,1.45718400,0.00000000,2026-09-04 07:48:43,CLOSED,TRAIL_STOP,2026-09-04 09:17:17,1.52483000,0.200000,0.256552,10.00,0.456552,titan_signal
ATOM-USDT,LONG,S3,کرونوس (Cronus),1.51790000,1.45718400,0.00000000,2026-09-04 07:48:44,CLOSED,TRAIL_STOP,2026-09-04 09:17:17,1.52483000,0.200000,0.256552,10.00,0.456552,titan_signal
ATOM-USDT,LONG,B1,هایپریون (Hyperion),1.51790000,1.45718400,0.00000000,2026-09-04 07:48:45,CLOSED,TRAIL_STOP,2026-09-04 09:17:18,1.52483000,0.200000,0.256552,10.00,0.456552,titan_signal
